GEOID,INVESTPER,INVESTPER_A,disadvantaged,RISK_SCORE,TotPop,CIscore,Ozone,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,AAPI
6001432501,3.608124289,4.056246028,1,29.60477052,4854,49.48770509,0.03190818,8.555477036,24.3186061,1.820781065,99.62663348,0,0,572.8103332,54.28857214,2390.343375,91.475,110.4123824,4.208817285,68.83916764,77.52993069,29.4,88.40985442,36.55,84.02789308,0.685,77.80277962,11,86.95926081,3,63.66552119,56.54369788,6.903974279,85.37647791,76.53,83.12562313,6.7,86.54092892,14.71,64.63110668,24.1,71.55150595,15.4,78.19732034,26.5,47.5,3.3,21.1087975,25.8,82.15462611,14.3181,29.7693,16.9757,7.293,0.1236,3.5435,42.295
6043000400,3.608856328,4.063088935,0,24.25373987,1702,11.13528984,0.05679963,6.36522437,4.418170504,0.000584944,0.161792159,0,0,1.40E-05,0.050012503,100.4665715,1.15,402.1200975,43.674285,34.68370445,30.2205419,10,61.38484509,12.3,52.53196082,0.1,16.63798809,0,0,7.5,84.74226804,27.25281632,3.327563459,12.47044182,27.16,20.32652044,3.23,11.81678214,18.36,82.0663011,14.5,54.21412301,2.3,18.10799838,31.4,56.0678392,1.6,3.578865174,2.9,0.278833967,14.2773,21.7979,70.2115,2.4089,0,2.7027,2.879
6075020401,3.609023684,4.064654952,0,12.26642012,3176,4.039589822,0.03190818,8.60864157,26.43434972,0.20345,62.6509023,0,0,329.2666677,43.43585896,488.9415768,20.075,258.7894396,15.03684276,52.51278268,55.13547574,0,0,0,0,0.145,24.71211118,0,0,0,0,20.74355716,2.532784209,3.584318606,20.48,9.820538385,4.79,46.49730562,5.69,2.467597208,2.3,7.403189066,0,0,9.9,9.849246231,2.9,15.83810515,11.9,22.6869455,10.0756,7.4937,69.1436,2.1725,0,5.3841,15.806
6075022902,3.612156896,4.094085386,0,17.89768396,2483,22.96946626,0.03190818,8.592444288,25.63783447,1.12129,98.69321717,0,0,332.3413391,43.6484121,564.0263943,25.825,258.7894396,15.03684276,59.97495407,65.6836799,0.4,5.636431504,27.75,77.60252366,0.98,84.87094639,0,0,1.25,38.99198167,37.21592171,4.544056649,34.99688861,64.8,74.21485543,5.14,56.12009238,10.78,36.41575274,11.2,45.89977221,9.1,58.22168088,21.1,36.41959799,5.6,52.5247267,10.6,16.31178707,19.2106,41.6834,37.1325,4.1079,0,5.1953,11.8808
6063000502,3.612447304,4.096823971,0,27.03777951,1649,17.48422057,0.05142316,7.727889201,11.15121344,0.007691368,3.12383323,0.101736186,26.03448276,0.708163333,4.00100025,92.91125513,0.95,322.9676562,30.56075934,17.92518,10.15752993,7,50.31728257,2,14.31180475,0,0,5,51.21797564,3.8,67.42268041,24.7956619,3.027545393,8.35096453,73.54,81.10667996,-999,-999,16.74,74.98753739,4.3,17.79296381,0.5,1.813506564,21.5,37.16080402,11.8,91.78813118,10.9,17.93409379,44.8757,10.5518,87.6289,0,0.2426,1.5767,0
6067007301,3.613258654,4.104484825,1,16.44308841,5067,45.69004947,0.04901945,9.004311937,37.43621655,0.073859881,27.45488488,0.002493525,7.24137931,81.69460047,21.80545136,839.7325028,47.0125,505.8972415,61.07156238,83.36435912,92.24952741,19,80.94438223,208.25,99.21965798,0.4,61.57511582,0,0,2,52.89805269,49.01783506,5.985067924,67.8033603,103.14,93.36989033,6.23,79.40723634,15.48,69.1550349,18.9,62.85750443,5.3,39.20692922,60,91.6080402,6.8,65.62988027,22.8,73.40937896,10.0454,29.8204,40.8131,17.5844,0.1776,7.5982,4.0063
6071006401,3.613415195,4.105964549,1,26.48554708,2778,46.99634236,0.073132,11.20942686,56.97573118,0.143375035,49.58307405,0,0,535.8340047,52.88822206,507.9423255,21.475,703.6892272,77.90683152,69.74797437,78.90359168,14.3,73.75886525,0,0,0.26,44.72534745,1,12.45275094,0.2,9.667812142,45.85135593,5.598441451,59.04169259,68.59,77.40528415,6.69,86.34847318,16.26,72.61964108,42.7,92.0020248,16.7,80.84991203,57.6,89.76130653,9.3,83.22488287,21.7,69.45500634,5.5796,80.6335,3.4917,13.9669,0.324,0.54,1.0439
6073003303,3.613769061,4.109311477,1,15.98611678,4821,45.52041705,0.04259906,10.42201071,51.93528314,0.116792224,42.46421904,0,0,478.6034139,50.7751938,2178.032639,89.5375,312.860703,28.98713626,63.06256343,70.13232514,0.4,5.636431504,6,35.01577287,0.335,54.63931171,12,90.1301974,0.25,11.59221077,43.4447508,5.304595443,52.68201618,76.46,83.05084746,6.86,88.50397742,12.18,47.42023928,39.7,89.72412048,26.9,93.89633239,65.2,95.0879397,9.7,84.98178032,39.9,98.60583016,7.8822,75.1504,8.5667,7.2806,0,0.9334,8.0689
6037271100,3.615247813,4.123327338,0,18.12324677,2445,24.63414319,0.04716458,11.78318303,69.14747978,0.261002865,71.83571873,0,0,1747.820048,76.34408602,5096.867427,99.7,440.6380342,52.71637317,58.15454184,63.13799622,0,0,9.75,45.09380707,0.735,79.57643944,0,0,2,52.89805269,52.12313956,6.364224987,75.86807716,30.51,25.78514457,3.39,14.38285861,12.26,48.30508475,6.4,27.61326247,5.7,41.43997835,17.2,27.56281407,8.9,81.01249349,16.8,48.0608365,19.4683,18.773,52.4335,2.1268,0,4.09,22.5767
6037402303,3.616400574,4.134286549,1,22.08556657,4080,57.21884125,0.05763123,12.61296425,91.79838208,0.140650936,48.74922215,0,0,740.9756572,59.2648162,1836.157833,84.45,754.4422005,85.97477207,86.4842383,94.27851292,13,71.63120567,18,65.31628756,0.31,51.72733289,1,12.45275094,1,35.71592211,60.91074161,7.437189452,92.03484754,62.94,72.32053838,6.56,84.30844239,13.01,53.90079761,34.8,85.07972665,14.7,76.64095277,56.4,88.53015075,6,57.24882874,26.3,83.29531052,8.848,78.4069,13.8235,1.5196,1.0784,1.3725,3.799
6077004403,3.617042995,4.140406622,1,14.37683218,3798,43.31250059,0.04632538,10.68447106,53.14250156,0.239992923,68.67454885,0.001780217,6.379310345,69.0119985,20.4676169,435.8038296,16.3125,553.9537008,64.99313101,85.84541276,94.00126024,8.4,53.88204554,48.25,89.68952349,0.215,37.88219722,0,0,0.1,2.520045819,43.17869317,5.27210986,52.13441195,65.8,75.01246261,5.04,53.46420323,18.98,84.18494516,42.5,91.79954442,36.9,98.10529165,61.6,92.72613065,8.8,80.38781884,23.1,74.52471483,7.425,60.1369,15.6135,0,0,0.9215,23.3281
6037570404,3.617728444,4.146946609,1,17.90759771,3676,60.46460117,0.04259906,12.38808685,90.4044804,1.557586728,99.46484132,0.01656937,15.06896552,9971.729859,97.36184046,4995.974322,99.6625,311.7939705,25.81491195,88.73207914,95.94202899,1.4,19.91414707,3,22.11522497,0.805,81.53540702,7,66.73666527,1.45,40.09163803,61.49402061,7.508407702,92.68201618,85.11,87.76171486,6.3,80.34385425,18.65,83.16301097,36.3,86.58567451,6.9,48.19326025,41.5,71.41959799,9.3,83.22488287,21.3,68.11153359,9.0588,71.8716,1.3058,18.1991,0,3.4548,5.1686
6073021900,3.6178332,4.147947011,1,26.56562214,7107,42.85632327,0.04192559,10.49238951,52.37087741,0.531001918,90.95208463,0,0,786.5546671,60.16504126,1184.734667,68.1625,338.4984526,33.43324591,73.54257288,83.06238185,63,97.59238522,228.75,99.40229122,9.81,99.40436797,15,94.56110878,15.5,96.35738832,67.05798921,8.187767163,97.03795893,30.24,25.43619143,6.53,83.98768283,8.1,14.35692921,11.3,46.22880283,14,74.44850453,39.3,68.00251256,4.9,43.0895367,20.9,66.51457541,3.6584,44.1537,28.7744,14.1973,0.6191,2.392,9.8635
